iter	Passed	Remaining
0	0	93
1	1	88
2	2	85
3	3	79
4	4	78
5	4	77
6	5	75
7	6	75
8	7	74
9	8	73
10	8	72
11	9	71
12	10	70
13	11	69
14	12	68
15	12	67
16	13	66
17	14	66
18	15	65
19	16	64
20	16	63
21	17	62
22	18	61
23	19	60
24	19	59
25	20	58
26	21	57
27	22	56
28	22	56
29	23	55
30	24	55
31	25	54
32	26	53
33	27	52
34	27	51
35	28	51
36	29	50
37	30	49
38	31	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	44
44	35	43
45	36	42
46	36	41
47	37	40
48	38	40
49	39	39
50	39	38
51	40	37
52	41	36
53	42	36
54	42	35
55	43	34
56	44	33
57	45	32
58	46	32
59	46	31
60	47	30
61	48	29
62	49	28
63	50	28
64	50	27
65	51	26
66	52	25
67	53	25
68	54	24
69	54	23
70	55	22
71	56	21
72	57	21
73	57	20
74	58	19
75	59	18
76	60	18
77	61	17
78	61	16
79	62	15
80	63	14
81	64	14
82	65	13
83	65	12
84	66	11
85	67	10
86	68	10
87	69	9
88	69	8
89	70	7
90	71	7
91	72	6
92	72	5
93	73	4
94	74	3
95	75	3
96	76	2
97	76	1
98	77	0
99	78	0
