iter	Passed	Remaining
0	148	147909
1	149	74394
2	149	49844
3	150	37583
4	152	30258
5	152	25334
6	153	21813
7	154	19180
8	155	17137
9	158	15686
10	159	14375
11	160	13241
12	161	12298
13	163	11492
14	164	10794
15	165	10181
16	166	9644
17	167	9162
18	169	8773
19	171	8414
20	173	8070
21	174	7744
22	175	7451
23	176	7192
24	177	6939
25	178	6703
26	180	6489
27	182	6335
28	183	6152
29	184	5979
30	186	5815
31	187	5663
32	188	5519
33	189	5381
34	190	5253
35	191	5130
36	192	5016
37	194	4934
38	196	4833
39	197	4734
40	198	4641
41	199	4550
42	200	4463
43	201	4380
44	202	4300
45	203	4224
46	204	4151
47	207	4105
48	208	4040
49	209	3976
50	210	3914
51	211	3855
52	212	3798
53	213	3742
54	214	3688
55	216	3643
56	217	3600
57	218	3552
58	219	3505
59	220	3460
60	222	3417
61	223	3375
62	224	3333
63	225	3293
64	226	3262
65	228	3229
66	229	3193
67	230	3158
68	231	3123
69	232	3089
70	233	3057
71	234	3025
72	235	2994
73	238	2978
74	239	2953
75	240	2924
76	241	2896
77	242	2869
78	243	2842
79	244	2815
80	245	2788
81	246	2763
82	247	2734
83	248	2710
84	250	2698
85	251	2677
86	253	2655
87	254	2633
88	255	2611
89	256	2590
90	257	2568
91	258	2548
92	259	2529
93	260	2509
94	262	2498
95	263	2480
96	264	2461
97	265	2443
98	266	2427
99	267	2410
100	268	2393
101	270	2377
102	271	2360
103	272	2344
104	274	2337
105	275	2323
106	276	2307
107	277	2291
108	278	2275
109	279	2261
110	280	2245
111	281	2231
112	282	2216
113	283	2202
114	284	2188
115	286	2185
116	287	2172
117	289	2160
118	290	2147
119	291	2134
120	292	2121
121	292	2107
122	293	2095
123	294	2082
124	295	2070
125	296	2058
126	298	2052
127	299	2042
128	300	2032
129	301	2020
130	303	2010
131	304	1999
132	305	1988
133	305	1977
134	306	1966
135	307	1956
136	308	1945
137	311	1943
138	312	1934
139	313	1923
140	314	1914
141	314	1902
142	315	1893
143	316	1883
144	317	1874
145	318	1865
146	319	1856
147	320	1847
148	322	1840
149	323	1832
150	324	1824
151	325	1816
152	326	1807
153	327	1798
154	328	1790
155	329	1782
156	330	1773
157	331	1765
158	332	1757
159	334	1756
160	335	1748
161	336	1741
162	337	1733
163	338	1726
164	339	1719
165	340	1712
166	341	1704
167	342	1697
168	343	1689
169	344	1682
170	346	1680
171	347	1674
172	348	1667
173	349	1660
174	350	1653
175	351	1647
176	352	1640
177	353	1633
178	354	1627
179	355	1620
180	356	1614
181	359	1614
182	375	1676
183	376	1670
184	377	1663
185	378	1656
186	379	1650
187	380	1643
188	381	1637
189	382	1630
190	383	1624
191	384	1618
192	385	1612
193	387	1611
194	389	1606
195	390	1600
196	391	1593
197	392	1587
198	392	1581
199	393	1575
200	395	1570
201	396	1564
202	397	1558
203	398	1553
204	400	1551
205	401	1547
206	402	1542
207	403	1536
208	404	1531
209	405	1525
210	406	1520
211	407	1514
212	408	1509
213	409	1504
214	410	1499
215	413	1499
216	414	1494
217	415	1489
218	416	1484
219	417	1480
220	418	1475
221	419	1470
222	420	1465
223	421	1460
224	422	1455
225	424	1453
226	425	1449
227	426	1444
228	427	1439
229	428	1434
230	429	1430
231	430	1425
232	431	1420
233	432	1416
234	433	1411
235	434	1406
236	436	1404
237	438	1403
238	439	1399
239	440	1395
240	441	1391
241	442	1386
242	443	1382
243	444	1377
244	445	1373
245	446	1369
246	448	1368
247	450	1365
248	451	1361
249	452	1356
250	453	1352
251	454	1348
252	455	1343
253	456	1339
254	457	1335
255	458	1331
256	459	1328
257	460	1325
258	461	1321
259	463	1318
260	465	1317
261	466	1313
262	467	1309
263	468	1305
264	469	1301
265	470	1297
266	472	1297
267	473	1294
268	474	1290
269	475	1286
270	476	1282
271	477	1279
272	478	1275
273	479	1271
274	480	1267
275	481	1263
276	482	1259
277	486	1263
278	487	1259
279	488	1256
280	489	1252
281	490	1249
282	491	1246
283	492	1242
284	493	1238
285	494	1235
286	497	1235
